ID,Form,Meaning,Parameter_ID
4f85bd63-54a2-48e7-87e8-5bbce21b164d,bo,3SG.POSS,
e900951e-90fc-4283-bde4-7c957778904c,midd,meat,
3ef579a6-7bff-4423-8172-325670966bbb,da,MED.DEM,
6e864dea-fd8c-4ebb-abe8-7fb4271ba18c,umllang,tell,
87a65bb4-632b-4008-b425-18ad106adbe8,a-g-alle,REC.INTR-AUX.NPRS-REC.2SG`S|A,
81b300a4-2ed5-4b0e-9c03-c719340d82e2,bongo,2SG.NOM,
95216b97-c77a-42bd-94c6-f41212d954f2,llokttang,difficult,
4bc88e36-71d6-4ba9-8cae-27716442fa29,käde,,
dcb583be-2280-4f27-9eae-c2e71707d209,diba,that,
912a3707-f781-42d2-b232-298fbfa1c43c,lla,person,
yabira-3nsg-dat,=yabira,3NSG.DAT,
e881bd55-b2ca-426c-ba42-c7f5c20f6107,d-ä-llɨt-n-eyo,REM.TR-3NDU`P-tell-NPFV-REM.3DU`S|NSG`A,
586c9c73-27a4-434d-a35d-7b6fb15bb9a4,mälla,woman,
b3b483b7-dda4-4df1-82a1-74ca4642b91c,ddob,other,
5d7a03dc-7361-4110-816b-5d86780e0fc1,tongoe,play,
356bc101-96d7-4108-a659-0b5ad42a76c4,mälla,woman,
5bd07116-9d0f-4b54-b0ec-994136538d6c,g-o-tongoe-neg-n-än,REM.INTR-RT.EXT.INTR-laugh-3PL`S-NPFV-REM|FUT.3SG`S|A,
27408627-07e1-4fca-bab4-2483d5b566aa,ddob,other,
035487b7-6df9-4161-a389-ecd55055de39,ddobae,very,
9a442c41-b76e-45c8-9f2d-ccfc16c983c3,gänya,this,
ea1b5627-6135-44a0-a750-f39c23e3a707,story,story,
39bbfd8f-4792-4109-ba5f-c1620393910c,Idugoe,male_personal_name,
c611248c-db12-4157-a95d-3eed19779205,g-o-nges-än,REM.INTR-RT.EXT.INTR-REM|FUT.3SG`S|A,
5a917499-8f5b-4b89-a929-108c3709c774,adawede,so_that,
86eaab74-ea21-4e8b-9f04-950f19b45ff4,d-a-nges-aem-n-eyo,REM.TR-RT.EXT.TR-NSG>PL-DUR-REM.3DU`S|NSG`A,
4e58ea61-814b-4139-be0f-19ce269d664c,d-a-nges-n-eyo,REM.TR-RT.EXT.TR-DUR-REM.3DU`S|NSG`A,
47b1554e-a7ad-4750-907b-7fc7636f2139,ngaskäma,POT,
2d484bdd-5925-43d9-b5c3-d4a3f9c4ec43,ain,who,
dbd816dc-9b0d-453f-afdc-513e90932033,lel,fear,
1285e07d-0000-4721-9fe1-ad2b31da4c5f,we,ALL,
6b2e2a68-c55d-47b6-991f-b9e2cd7e019a,ngaska,POT,
f65120db-4d9a-4391-8c85-ac08ad267b8e,iddob,night,
fa72fb31-3793-4b64-89e9-ca550881d8aa,e,ALL,
38d7b95f-7d5b-4815-9207-a0c1f8720ab5,eso,thank_you,
3b3ccded-8553-4687-bda5-87b96ea56981,gudae,earlier,
64b666b0-dd24-473f-a523-a5c9b4a5e864,1940s,loanword,
1f1fc17a-df11-413e-889b-54435c1c1372,makäp,inside,
f74592f7-eaba-4e0c-998c-c8feba5f8d13,ttongo,a,
48e0a1a7-e87d-4783-940a-a863bd42d148,kuddäll,dead,
cff66a6e-f8c9-4c6a-9c36-ed4b7959a971,bin,name,
a1e3e16d-a0b3-4643-9a2d-f18c67d3c725,Galo,male_personal_name,
7185f3da-4d6b-451e-a62e-17058d57a32e,Malläm,toponym,
809fdf52-4f6e-4df7-8804-cb8d3976d518,g-o-g-än,REM.INTR-RT.EXT.INTR-AUX.NPRS-REM|FUT.3SG`S|A,
f1266400-8aba-405e-b9a8-2b02523e5327,tämamae,all,
fafa5a4b-c6e0-47dd-8854-7c4696685f92,g-o-bäll-än,REM.INTR-RT.EXT.INTR-go-REM|FUT.3SG`S|A,
deae6f9b-0454-48ab-9612-b30b23dadf77,g-o-klloe-yän,REM.INTR-RT.EXT.INTR-gather-REM|FUT.3SG`S|A,
713889e1-9686-4b36-a23a-26429dab1201,Limoll,toponym,
34468e61-cbf2-4b99-98c8-bab1d3a6bd6d,att==a,ABL==NOM,
e1724576-a079-4818-9ba3-256020ecf443,kuddäll,death,
9fce33b0-e9c9-4db1-9040-a689b159cc68,alla,how,
